ts_ms,open,high,low,close,volume
1756339200000,112481.152904109,112481.152904109,112481.152904109,112481.152904109,0
1756425600000,108473.330441642,108473.330441642,108473.330441642,108473.330441642,0
1756512000000,108746.150824851,108746.150824851,108746.150824851,108746.150824851,0
1756598400000,108316.44689481,108316.44689481,108316.44689481,108316.44689481,0
1756684800000,108992.324614863,108992.324614863,108992.324614863,108992.324614863,0
1756771200000,111140.947159836,111140.947159836,111140.947159836,111140.947159836,0
1756857600000,111780.743587376,111780.743587376,111780.743587376,111780.743587376,0
1756944000000,110900.633412981,110900.633412981,110900.633412981,110900.633412981,0
1757030400000,110711.229484804,110711.229484804,110711.229484804,110711.229484804,0
1757116800000,110243.650741672,110243.650741672,110243.650741672,110243.650741672,0
1757203200000,111307.784421087,111307.784421087,111307.784421087,111307.784421087,0
1757289600000,112112.311575102,112112.311575102,112112.311575102,112112.311575102,0
1757376000000,111486.396779836,111486.396779836,111486.396779836,111486.396779836,0
1757462400000,113930.748423437,113930.748423437,113930.748423437,113930.748423437,0
1757548800000,115445.812932648,115445.812932648,115445.812932648,115445.812932648,0
1757635200000,116149.174031958,116149.174031958,116149.174031958,116149.174031958,0
1757721600000,115965.627551268,115965.627551268,115965.627551268,115965.627551268,0
1757808000000,115395.933423437,115395.933423437,115395.933423437,115395.933423437,0
1757894400000,115420.931814144,115420.931814144,115420.931814144,115420.931814144,0
1757980800000,116798.867050906,116798.867050906,116798.867050906,116798.867050906,0
1758067200000,116575.777628866,116575.777628866,116575.777628866,116575.777628866,0
1758153600000,117014.426762174,117014.426762174,117014.426762174,117014.426762174,0
1758240000000,115612.372541695,115612.372541695,115612.372541695,115612.372541695,0
1758326400000,115753.165960549,115753.165960549,115753.165960549,115753.165960549,0
1758412800000,115320.858829047,115320.858829047,115320.858829047,115320.858829047,0
1758499200000,112727.70773813,112727.70773813,112727.70773813,112727.70773813,0
1758585600000,112052.393282022,112052.393282022,112052.393282022,112052.393282022,0
1758672000000,113324.623592192,113324.623592192,113324.623592192,113324.623592192,0
1758758400000,109166.347974874,109166.347974874,109166.347974874,109166.347974874,0
1758844800000,109669.102166861,109669.102166861,109669.102166861,109669.102166861,0
1758931200000,109644.73069287,109644.73069287,109644.73069287,109644.73069287,0
1759017600000,112170.00778609,112170.00778609,112170.00778609,112170.00778609,0
1759104000000,114341.141435418,114341.141435418,114341.141435418,114341.141435418,0
1759190400000,113971.742796902,113971.742796902,113971.742796902,113971.742796902,0
1759276800000,118393.270386324,118393.270386324,118393.270386324,118393.270386324,0
1759363200000,120558.594007013,120558.594007013,120558.594007013,120558.594007013,0
1759449600000,122348.127640269,122348.127640269,122348.127640269,122348.127640269,0
1759536000000,122379.744317651,122379.744317651,122379.744317651,122379.744317651,0
1759622400000,123523.768313852,123523.768313852,123523.768313852,123523.768313852,0
1759708800000,124824.453666861,124824.453666861,124824.453666861,124824.453666861,0
1759795200000,121587.699236704,121587.699236704,121587.699236704,121587.699236704,0
1759881600000,123390.353094682,123390.353094682,123390.353094682,123390.353094682,0
1759968000000,121603.33278609,121603.33278609,121603.33278609,121603.33278609,0
1760054400000,113754.852328171,113754.852328171,113754.852328171,113754.852328171,0
1760140800000,110940.113648159,110940.113648159,110940.113648159,110940.113648159,0
1760227200000,115152.917045003,115152.917045003,115152.917045003,115152.917045003,0
1760313600000,115332.252929573,115332.252929573,115332.252929573,115332.252929573,0
1760400000000,113327.079410286,113327.079410286,113327.079410286,113327.079410286,0
1760486400000,110862.872485389,110862.872485389,110862.872485389,110862.872485389,0
1760572800000,108135.049605786,108135.049605786,108135.049605786,108135.049605786,0
1760659200000,106625.668651373,106625.668651373,106625.668651373,106625.668651373,0
1760745600000,107143.913935126,107143.913935126,107143.913935126,107143.913935126,0
1760832000000,108706.663763881,108706.663763881,108706.663763881,108706.663763881,0
1760918400000,110640.249515488,110640.249515488,110640.249515488,110640.249515488,0
1761004800000,108700.382071888,108700.382071888,108700.382071888,108700.382071888,0
1761091200000,107667.630188486,107667.630188486,107667.630188486,107667.630188486,0
1761177600000,110060.936797195,110060.936797195,110060.936797195,110060.936797195,0
1761264000000,111024.94314699,111024.94314699,111024.94314699,111024.94314699,0
1761350400000,111614.535857686,111614.535857686,111614.535857686,111614.535857686,0
1761436800000,114557.100460549,114557.100460549,114557.100460549,114557.100460549,0
1761523200000,114087.773805085,114087.773805085,114087.773805085,114087.773805085,0
1761609600000,112980.685846289,112980.685846289,112980.685846289,112980.685846289,0
1761696000000,110206.347983051,110206.347983051,110206.347983051,110206.347983051,0
1761782400000,108019.723841905,108019.723841905,108019.723841905,108019.723841905,0
1761868800000,109554.239627703,109554.239627703,109554.239627703,109554.239627703,0
1761955200000,110005.295855348,110005.295855348,110005.295855348,110005.295855348,0
1762041600000,110389.168627119,110389.168627119,110389.168627119,110389.168627119,0
1762128000000,106495.802789889,106495.802789889,106495.802789889,106495.802789889,0
1762214400000,101349.73723232,101349.73723232,101349.73723232,101349.73723232,0
1762300800000,103915.88479135,103915.88479135,103915.88479135,103915.88479135,0
1762387200000,101241.573677966,101241.573677966,101241.573677966,101241.573677966,0
1762473600000,103428.471746932,103428.471746932,103428.471746932,103428.471746932,0
1762560000000,102335.021439217,102335.021439217,102335.021439217,102335.021439217,0
1762646400000,104685.54544097,104685.54544097,104685.54544097,104685.54544097,0
1762732800000,106082.478156926,106082.478156926,106082.478156926,106082.478156926,0
1762819200000,102974.405611631,102974.405611631,102974.405611631,102974.405611631,0
1762905600000,101682.126652835,101682.126652835,101682.126652835,101682.126652835,0
1762992000000,100035.310145237,100035.310145237,100035.310145237,100035.310145237,0
1763078400000,94502.5476025716,94502.5476025716,94502.5476025716,94502.5476025716,0
1763164800000,95541.3158389831,95541.3158389831,95541.3158389831,95541.3158389831,0
1763251200000,94182.3130996493,94182.3130996493,94182.3130996493,94182.3130996493,0
1763337600000,91911.4713471654,91911.4713471654,91911.4713471654,91911.4713471654,0
1763424000000,92836.4419111631,92836.4419111631,92836.4419111631,92836.4419111631,0
1763510400000,91320.4811332554,91320.4811332554,91320.4811332554,91320.4811332554,0
1763596800000,86911.2980590298,86911.2980590298,86911.2980590298,86911.2980590298,0
1763683200000,84948.0463205727,84948.0463205727,84948.0463205727,84948.0463205727,0
1763769600000,84775.0015452952,84775.0015452952,84775.0015452952,84775.0015452952,0
1763856000000,86872.4546630625,86872.4546630625,86872.4546630625,86872.4546630625,0
1763942400000,88377.6024421391,88377.6024421391,88377.6024421391,88377.6024421391,0
1764028800000,87434.550610754,87434.550610754,87434.550610754,87434.550610754,0
1764115200000,90449.2770675044,90449.2770675044,90449.2770675044,90449.2770675044,0
1764201600000,91336.2000452952,91336.2000452952,91336.2000452952,91336.2000452952,0
1764288000000,90990.1266104617,90990.1266104617,90990.1266104617,90990.1266104617,0
1764374400000,90842.0738243717,90842.0738243717,90842.0738243717,90842.0738243717,0
